,ds,y
0,2010-09-25,-2.3025850929940455
1,2010-09-26,-2.3025850929940455
2,2010-09-27,-2.3025850929940455
3,2010-09-28,-2.3025850929940455
4,2010-09-29,-2.3025850929940455
5,2010-09-30,-2.3025850929940455
6,2010-10-01,-2.3025850929940455
7,2010-10-02,-2.3025850929940455
8,2010-10-03,-2.3025850929940455
9,2010-10-04,-2.3025850929940455
10,2010-10-05,-2.3025850929940455
11,2010-10-06,-2.3025850929940455
12,2010-10-07,-2.3025850929940455
13,2010-10-08,-2.3025850929940455
14,2010-10-09,-2.3025850929940455
15,2010-10-10,-2.3025850929940455
16,2010-10-11,-2.3025850929940455
17,2010-10-12,-2.3025850929940455
18,2010-10-13,-2.3025850929940455
19,2010-10-14,-2.3025850929940455
20,2010-10-15,-2.3025850929940455
21,2010-10-16,-2.3025850929940455
22,2010-10-17,-2.3025850929940455
23,2010-10-18,-2.3025850929940455
24,2010-10-19,-2.3025850929940455
25,2010-10-20,-2.3025850929940455
26,2010-10-21,-2.3025850929940455
27,2010-10-22,-2.3025850929940455
28,2010-10-23,-2.3025850929940455
29,2010-10-24,-2.3025850929940455
30,2010-10-25,-2.3025850929940455
31,2010-10-26,-1.6094379124341003
32,2010-10-27,-1.6094379124341003
33,2010-10-28,-1.6094379124341003
34,2010-10-29,-1.6094379124341003
35,2010-10-30,-1.6094379124341003
36,2010-10-31,-1.6094379124341003
37,2010-11-01,-1.6094379124341003
38,2010-11-02,-1.6094379124341003
39,2010-11-03,-1.6094379124341003
40,2010-11-04,-1.6094379124341003
41,2010-11-05,-1.2039728043259361
42,2010-11-06,-0.916290731874155
43,2010-11-07,-1.2039728043259361
44,2010-11-08,-1.6094379124341003
45,2010-11-09,-1.6094379124341003
46,2010-11-10,-1.6094379124341003
47,2010-11-11,-1.6094379124341003
48,2010-11-12,-1.2039728043259361
49,2010-11-13,-1.2039728043259361
50,2010-11-14,-1.2039728043259361
51,2010-11-15,-1.2039728043259361
52,2010-11-16,-1.6094379124341003
53,2010-11-17,-1.6094379124341003
54,2010-11-18,-1.2039728043259361
55,2010-11-19,-1.2039728043259361
56,2010-11-20,-1.2039728043259361
57,2010-11-21,-1.2039728043259361
58,2010-11-22,-1.2039728043259361
59,2010-11-23,-1.2039728043259361
60,2010-11-24,-1.2039728043259361
61,2010-11-25,-1.2039728043259361
62,2010-11-26,-1.2039728043259361
63,2010-11-27,-1.2039728043259361
64,2010-11-28,-1.2039728043259361
65,2010-11-29,-1.6094379124341003
66,2010-11-30,-1.6094379124341003
67,2010-12-01,-1.6094379124341003
68,2010-12-02,-1.2039728043259361
69,2010-12-03,-1.2039728043259361
70,2010-12-04,-1.6094379124341003
71,2010-12-05,-1.6094379124341003
72,2010-12-06,-1.6094379124341003
73,2010-12-07,-1.6094379124341003
74,2010-12-08,-1.6094379124341003
75,2010-12-09,-1.6094379124341003
76,2010-12-10,-1.6094379124341003
77,2010-12-11,-1.6094379124341003
78,2010-12-12,-1.6094379124341003
79,2010-12-13,-1.6094379124341003
80,2010-12-14,-1.6094379124341003
81,2010-12-15,-1.6094379124341003
82,2010-12-16,-1.2039728043259361
83,2010-12-17,-1.6094379124341003
84,2010-12-18,-1.6094379124341003
85,2010-12-19,-1.6094379124341003
86,2010-12-20,-1.2039728043259361
87,2010-12-21,-1.6094379124341003
88,2010-12-22,-1.2039728043259361
89,2010-12-23,-1.2039728043259361
90,2010-12-24,-1.6094379124341003
91,2010-12-25,-1.6094379124341003
92,2010-12-26,-1.2039728043259361
93,2010-12-27,-1.2039728043259361
94,2010-12-28,-1.2039728043259361
95,2010-12-29,-1.2039728043259361
96,2010-12-30,-1.2039728043259361
97,2010-12-31,-1.2039728043259361
98,2011-01-01,-1.2039728043259361
99,2011-01-02,-1.2039728043259361
100,2011-01-03,-1.2039728043259361
101,2011-01-04,-1.2039728043259361
102,2011-01-05,-1.2039728043259361
103,2011-01-06,-1.2039728043259361
104,2011-01-07,-1.2039728043259361
105,2011-01-08,-1.2039728043259361
106,2011-01-09,-1.2039728043259361
107,2011-01-10,-1.2039728043259361
108,2011-01-11,-1.2039728043259361
109,2011-01-12,-1.2039728043259361
110,2011-01-13,-1.2039728043259361
111,2011-01-14,-0.916290731874155
112,2011-01-15,-0.916290731874155
113,2011-01-16,-0.916290731874155
114,2011-01-17,-1.2039728043259361
115,2011-01-18,-1.2039728043259361
116,2011-01-19,-1.2039728043259361
117,2011-01-20,-0.916290731874155
118,2011-01-21,-0.916290731874155
119,2011-01-22,-0.916290731874155
120,2011-01-23,-0.916290731874155
121,2011-01-24,-0.916290731874155
122,2011-01-25,-0.916290731874155
123,2011-01-26,-0.916290731874155
124,2011-01-27,-0.916290731874155
125,2011-01-28,-0.916290731874155
126,2011-01-29,-0.916290731874155
127,2011-01-30,-0.6931471805599453
128,2011-01-31,-0.6931471805599453
129,2011-02-01,-0.35667494393873245
130,2011-02-02,-0.35667494393873245
131,2011-02-03,-0.35667494393873245
132,2011-02-04,-0.2231435513142097
133,2011-02-05,-0.10536051565782628
134,2011-02-06,-0.10536051565782628
135,2011-02-07,-0.10536051565782628
136,2011-02-08,-0.10536051565782628
137,2011-02-09,0.09531017980432493
138,2011-02-10,0.0
139,2011-02-11,0.09531017980432493
140,2011-02-12,0.09531017980432493
141,2011-02-13,0.0
142,2011-02-14,0.09531017980432493
143,2011-02-15,0.0
144,2011-02-16,0.0
145,2011-02-17,0.0
146,2011-02-18,-0.10536051565782628
147,2011-02-19,-0.10536051565782628
148,2011-02-20,-0.10536051565782628
